ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_76_Invoice_Number_E2,X12_00401_810->BIG->BIG02
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_324_Purchase_Order_Number_E4,X12_00401_810->BIG->BIG04
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_328_Release_Number_E5,X12_00401_810->BIG->BIG05
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_327_Change_Order_Sequence_Number_E6,X12_00401_810->BIG->BIG06
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_640_Transaction_Type_Code_E7,X12_00401_810->BIG->BIG07
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_353_Transaction_Set_Purpose_Code_E8,X12_00401_810->BIG->BIG08
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_306_Action_Code_E9,X12_00401_810->BIG->BIG09
ASC_X12_810_004_010_DEFAULT_X->BIG_Beginning_Segment_for_Invoice_S1->_76_Invoice_Number_E10,X12_00401_810->BIG->BIG10
ASC_X12_810_004_010_DEFAULT_X->NTE_Note_Special_Instruction_S2->_363_Note_Reference_Code_E1,X12_00401_810->NTE->NTE01
ASC_X12_810_004_010_DEFAULT_X->NTE_Note_Special_Instruction_S2->_352_Description_E2,X12_00401_810->NTE->NTE02
ASC_X12_810_004_010_DEFAULT_X->CUR_Currency__CUR__S3->_98_Entity_Identifier_Code_E1,X12_00401_810->CUR->CUR01
ASC_X12_810_004_010_DEFAULT_X->CUR_Currency__CUR__S3->_100_Currency_Code_E2,X12_00401_810->CUR->CUR02
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E1,X12_00401_810->REF->REF01
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_127_Reference_Identification_E2,X12_00401_810->REF->REF02
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_352_Description_E3,X12_00401_810->REF->REF03
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E4,X12_00401_810->REF->C040->C04001
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E5,X12_00401_810->REF->C040->C04002
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E6,X12_00401_810->REF->C040->C04003
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E7,X12_00401_810->REF->C040->C04004
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E8,X12_00401_810->REF->C040->C04005
ASC_X12_810_004_010_DEFAULT_X->REF_Reference_Identification__REF__S4->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E9,X12_00401_810->REF->C040->C04006
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1321_Condition_Indicator_E1,X12_00401_810->YNQ->YNQ01
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1073_Yes_No_Condition_or_Response_Code_E2,X12_00401_810->YNQ->YNQ02
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1250_Date_Time_Period_Format_Qualifier_E3,X12_00401_810->YNQ->YNQ03
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1251_Date_Time_Period_E4,X12_00401_810->YNQ->YNQ04
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_933_Free-Form_Message_Text_E5,X12_00401_810->YNQ->YNQ05
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_933_Free-Form_Message_Text_E6,X12_00401_810->YNQ->YNQ06
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_933_Free-Form_Message_Text_E7,X12_00401_810->YNQ->YNQ07
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1270_Code_List_Qualifier_Code_E8,X12_00401_810->YNQ->YNQ08
ASC_X12_810_004_010_DEFAULT_X->YNQ_Yes_No_Question_S5->_1271_Industry_Code_E9,X12_00401_810->YNQ->YNQ09
