ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_337_Time_E15,X12_00401_850->CUR->CUR15
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_374_Date_Time_Qualifier_E16,X12_00401_850->CUR->CUR16
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_337_Time_E18,X12_00401_850->CUR->CUR18
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_374_Date_Time_Qualifier_E19,X12_00401_850->CUR->CUR19
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_337_Time_E21,X12_00401_850->CUR->CUR21
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E1,X12_00401_850->REF->REF01
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_127_Reference_Identification_E2,X12_00401_850->REF->REF02
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_352_Description_E3,X12_00401_850->REF->REF03
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP,X12_00401_850->REF->C040
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E4,X12_00401_850->REF->C040->C04001
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E5,X12_00401_850->REF->C040->C04002
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E6,X12_00401_850->REF->C040->C04003
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E7,X12_00401_850->REF->C040->C04004
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_128_Reference_Identification_Qualifier_E8,X12_00401_850->REF->C040->C04005
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E4_COMP->_127_Reference_Identification_E9,X12_00401_850->REF->C040->C04006
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_366_Contact_Function_Code_E1,X12_00401_850->PER->PER01
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_93_Name_E2,X12_00401_850->PER->PER02
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_365_Communication_Number_Qualifier_E3,X12_00401_850->PER->PER03
