ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_328_Release_Number_E4,X12_00401_850->BEG->BEG04
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_367_Contract_Number_E6,X12_00401_850->BEG->BEG06
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_587_Acknowledgment_Type_E7,X12_00401_850->BEG->BEG07
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_1019_Invoice_Type_Code_E8,X12_00401_850->BEG->BEG08
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_1166_Contract_Type_Code_E9,X12_00401_850->BEG->BEG09
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_1232_Purchase_Category_E10,X12_00401_850->BEG->BEG10
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_786_Security_Level_Code_E11,X12_00401_850->BEG->BEG11
ASC_X12_850_004_010_DEFAULT_X->BEG_Beginning_Segment_for_Purchas__BEG__S1->_640_Transaction_Type_Code_E12,X12_00401_850->BEG->BEG12
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_98_Entity_Identifier_Code_E1,X12_00401_850->CUR->CUR01
ASC_X12_850_004_010_DEFAULT_X->CUR_Currency__CUR__S2->_100_Currency_Code_E2,X12_00401_850->CUR->CUR02
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_128_Reference_Identification_Qualifier_E1,X12_00401_850->REF->REF01
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_127_Reference_Identification_E2,X12_00401_850->REF->REF02
ASC_X12_850_004_010_DEFAULT_X->REF_Reference_Identification__REF__S3->_352_Description_E3,X12_00401_850->REF->REF03
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_366_Contact_Function_Code_E1,X12_00401_850->PER->PER01
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_93_Name_E2,X12_00401_850->PER->PER02
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_365_Communication_Number_Qualifier_E3,X12_00401_850->PER->PER03
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_364_Communication_Number_E4,X12_00401_850->PER->PER04
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_365_Communication_Number_Qualifier_E5,X12_00401_850->PER->PER05
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_364_Communication_Number_E6,X12_00401_850->PER->PER06
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_365_Communication_Number_Qualifier_E7,X12_00401_850->PER->PER07
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_364_Communication_Number_E8,X12_00401_850->PER->PER08
ASC_X12_850_004_010_DEFAULT_X->PER_Administrative_Communications_Conta_S4->_443_Contact_Inquiry_Reference_E9,X12_00401_850->PER->PER09
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_146_Shipment_Method_of_Payment_E1,X12_00401_850->FOB->FOB01
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_309_Location_Qualifier_E2,X12_00401_850->FOB->FOB02
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_352_Description_E3,X12_00401_850->FOB->FOB03
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_334_Transportation_Terms_Qualifier_Code_E4,X12_00401_850->FOB->FOB04
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_335_Transportation_Terms_Code_E5,X12_00401_850->FOB->FOB05
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_309_Location_Qualifier_E6,X12_00401_850->FOB->FOB06
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_352_Description_E7,X12_00401_850->FOB->FOB07
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_54_Risk_of_Loss_Code_E8,X12_00401_850->FOB->FOB08
ASC_X12_850_004_010_DEFAULT_X->FOB_F.O.B._Related_Instructions_S6->_352_Description_E9,X12_00401_850->FOB->FOB09
ASC_X12_850_004_010_DEFAULT_X->CSH_Sales_Requirements_S9->_563_Sales_Requirement_Code_E1,X12_00401_850->CSH->CSH01
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_1300_Service__Promotion__Allowance__or_C_E2,X12_00401_850->SACLoop1->SAC->SAC02
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_559_Agency_Qualifier_Code_E3,X12_00401_850->SACLoop1->SAC->SAC03
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_1301_Agency_Service__Promotion__Allowanc_E4,X12_00401_850->SACLoop1->SAC->SAC04
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_378_Allowance_Charge_Percent_Qualifier_E6,X12_00401_850->SACLoop1->SAC->SAC06
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_332_Percent_E7,X12_00401_850->SACLoop1->SAC->SAC07
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_118_Rate_E8,X12_00401_850->SACLoop1->SAC->SAC08
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_355_Unit_or_Basis_for_Measurement_Code_E9,X12_00401_850->SACLoop1->SAC->SAC09
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_380_Quantity_E10,X12_00401_850->SACLoop1->SAC->SAC10
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_380_Quantity_E11,X12_00401_850->SACLoop1->SAC->SAC11
ASC_X12_850_004_010_DEFAULT_X->SAC_Service__Promotion__Allowance__or_C_S11->_331_Allowance_or_Charge_Method_of_Handl_E12,X12_00401_850->SACLoop1->SAC->SAC12
